year,count
2003,1070
2004,4322
2005,9364
2006,23057
2007,35341
2008,46657
2009,31081
2010,51686
2011,77413
2012,95149
2013,129470
2014,141481
2015,147697
2016,175045
2017,198023
2018,276652
2019,260029
2020,290494
2021,445577
2022,468304
2023,319426
2024,226118
