area_name,count
Москва,2339355
Санкт-Петербург,699079
Минск,242952
Новосибирск,164573
Екатеринбург,153806
Нижний Новгород,143200
Киев,140524
Алматы,139700
Казань,137692
Воронеж,112049
Краснодар,103149
Ростов-на-Дону,92587
Самара,90915
Пермь,69543
Уфа,63016
Челябинск,55375
Красноярск,54441
Саратов,49319
Омск,47048
Томск,44141
Ярославль,40401
Нур-Султан,40062
Волгоград,40005
Ижевск,39807
Тюмень,38453
Тула,36780
Ташкент,36233
Иркутск,31763
Ульяновск,31616
Владивосток,31119
